Organization Name,Industries,Headquarters Location,Estimated Revenue,Operating Status,Founded Date,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Funding Amount,Growth Category,Growth Confidence,Monthly visit,Monthly Visit Growth,Visit Duration Growth,Patents Granted,Visit Duration
Gola-Bava Technologies,Automobiles,"Karnataka, India",$10B+,Active,2023,Series B,Automotive,2,"Rudra Anne, Warhi Korpal",501-1000,6,—,$1M to $5M,Growing,Low,1527735,1423.3099269563943,54.0228114983876,5,2227
Ahuja Group Innovations,FMCG,"Assam, India",$10M to $50M,Active,2020,Series B,Consumer Goods,0,—,251-500,6,Growing,$50M to $100M,Medium,High,586576,1349.3212409353382,5336.270405514574,3,239
Atwal Inc Technologies,Ports,"Madhya Pradesh, India",Less than $1M,Active,2022,IPO,Transportation,2,"Vedant Pillay, Mekhala Batra",501-1000,7,M&A,$10M to $50M,Medium,High,1854021,1479.577183738295,8266.61735986751,0,1041
"Sinha, Karpe and Sankar Innovations",Paper & Packaging,"Sikkim, India",$1M to $10M,Active,2017,Series B,Packaging,2,"Lavanya Som, Timothy Gupta",1001-5000,1,M&A,—,High,High,1542868,313.65164499437117,5946.5059246352075,0,375
Balakrishnan-Dalal Technologies,Services,"Sikkim, India",Less than $1M,Active,2024,—,Services,4,"Niharika Borah, Jalsa Soman, Tanvi Soni, Krishna Sen",501-1000,4,Growing,$100M to $500M,—,Low,1319355,1201.1530172134794,7757.032650522638,7,1644
Khosla PLC Innovations,Telecommunications,"Chhattisgarh, India",$1B to $10B,Active,2021,Seed,Telecommunications,5,"Naksh Chaudhuri, Mason Narasimhan, Amaira Dani, Mekhala Gupta, Girindra Sura",51-100,7,M&A,$5M to $10M,Growing,—,1945438,469.0295265895991,4302.322533870548,1,21
Bera Ltd Pvt Ltd,Manufacturing,"Bihar, India",$1B to $10B,Active,2019,Seed,Manufacturing,5,"Oni Pall, Elijah Bahl, Praneel Bhandari, Dayita Kar, Jhalak Tailor",51-100,7,Early Stage Venture,$5M to $10M,High,Low,1902804,1029.1739816973452,4349.9756338833095,0,788
Chandran-Sawhney Innovations,Manufacturing,"Telangana, India",$10M to $50M,Active,2018,Seed,Manufacturing,5,"Azaan Jayaraman, Nakul More, Oeshi Bobal, Aadhya Kala, Eta Hayer",1001-5000,3,M&A,—,Growing,—,767596,1393.2916865951906,693.8887471483978,5,312
Sen-Nayak Technologies,Media and Entertainment,"Sikkim, India",$10B+,Active,2021,Series B,Media,4,"Tristan Parmar, Peter Parekh, Ishwar Dhar, Naksh Gara",101-250,2,Early Stage Venture,$5M to $10M,Medium,Medium,978824,1504.0852904300764,3231.7633897030923,6,2395
Loyal-Nadig Technologies,Aviation,"Chhattisgarh, India",$10B+,Active,2021,Seed,Transportation,3,"Kavya Pradhan, Yahvi Tailor, Aarav Dhawan",51-100,3,Seed,$1M to $5M,High,High,1622404,1035.4697559781766,3662.5967269210996,4,26
Sandhu-Bahl Labs,Agriculture and Allied Industries,"Andhra Pradesh, India",$10B+,Active,2020,—,Agriculture,2,"Janya Chadha, Wahab Devi",501-1000,0,—,$50M to $100M,—,Medium,1791574,1305.2900454154205,7150.5639794020135,8,1366
Sur-Krishnan Labs,Medical Devices,"Punjab, India",$50M to $100M,Active,2022,—,Healthcare,3,"Meera Loke, Gautam Swaminathan, Chaitaly Rajagopal",101-250,7,Early Stage Venture,$10M to $50M,Growing,High,1255243,1653.5232911260246,1057.626840092887,8,1990
Trivedi Group Solutions,Steel,"Arunachal Pradesh, India",$10B+,Active,2018,—,Manufacturing,5,"Bhanumati Lala, Azaan Dutt, Isaiah Chawla, Jagvi Swaminathan, Nihal Mukhopadhyay",11-50,0,—,$1M to $5M,Growing,—,758338,733.8014140479027,9312.825653571776,6,1580
"Kade, Chowdhury and Butala Innovations",Auto Components,"Tamil Nadu, India",$50M to $100M,Active,2017,—,Automotive,1,Chaman Randhawa,11-50,2,M&A,$5M to $10M,Growing,High,274885,1502.6220468842625,1602.0159955022891,0,1287
"Purohit, Sethi and Hans Technologies",Textiles,"Sikkim, India",$10B+,Active,2018,Series A,Textiles,4,"Ethan Balay, Chatresh Chaudry, Jagvi Raj, Pahal Bawa",51-100,3,Seed,$500K to $1M,Growing,—,423574,785.3783704011548,8549.015632966784,1,340
Kari-Jaggi Pvt Ltd,Renewable Energy,"Tamil Nadu, India",$1M to $10M,Active,2020,Series C,Energy,4,"Qasim Chawla, Falan Nagarajan, Udant Atwal, Aishani Pingle",251-500,5,M&A,$10M to $50M,—,—,1713489,169.75868676840412,40.18997376691098,2,1287
"Raghavan, Grover and Sastry Technologies",Cement,"Tamil Nadu, India",$1B to $10B,Active,2021,Seed,Construction,3,"Aarnav Solanki, Bachittar Ratta, Hiral D’Alia",1001-5000,2,Growing,—,Medium,Medium,677786,517.7699195158854,3927.8180462820774,6,625
"Bose, Dubey and Wali Labs",Media and Entertainment,"Tripura, India",$10M to $50M,Active,2022,Series A,Media,1,Tanay Shan,1001-5000,1,M&A,$10M to $50M,—,Low,1934974,1328.948837351121,357.8983135982769,8,1240
"Dara, Karnik and Korpal Solutions",Financial Services,"Goa, India",Less than $1M,Active,2021,—,Financial Services,5,"Yashica Chaudhari, Ekaraj Raval, Chasmum Dubey, Lila Dayal, Daksh Rattan",251-500,4,Seed,$100K to $500K,High,Medium,20160,1115.1247629125633,260.2956108443797,8,795
Menon Inc Labs,Pharmaceuticals,"Madhya Pradesh, India",$100M to $500M,Active,2024,Series B,Pharmaceuticals,5,"Ekaraj Nori, Harini Rajagopalan, Gagan Apte, Turvi Minhas, Samarth Acharya",1-10,7,Growing,$5M to $10M,High,High,851562,382.9496818960567,6526.477388873354,9,1376
"Hari, Dhaliwal and Bansal Solutions",Retail,"Goa, India",Less than $1M,Active,2018,IPO,Commerce,0,—,51-100,6,Seed,$100K to $500K,Growing,—,576473,529.0456402464891,9442.373518998986,9,2434
Mukherjee Ltd Labs,Services,"Karnataka, India",Less than $1M,Active,2018,—,Services,4,"Aditya Radhakrishnan, Girish Tata, Tanveer Ravi, Bishakha Pandya",1-10,4,Seed,$5M to $10M,High,Low,26516,-18.619476113138447,6933.539014742374,6,16
Mandal-Garg Pvt Ltd,Chemicals,"Uttarakhand, India",$50M to $100M,Active,2022,Series A,Chemicals,1,Ikshita Sahni,1001-5000,3,Growing,—,High,Low,590775,1519.511927190455,4705.576519702092,10,1998
Bandi-Kibe Innovations,Ports,"Kerala, India",$100M to $500M,Active,2022,IPO,Transportation,0,—,501-1000,4,Seed,$50M to $100M,—,Low,1236386,1111.4504899267447,8368.241522972989,2,908
Acharya Group Labs,Consumer Durables,"Nagaland, India",$50M to $100M,Active,2019,Series B,Consumer Goods,0,—,501-1000,5,Seed,$0,Medium,Medium,69789,-13.44048389613917,1963.6589336745692,6,1941
"Varma, Rajagopalan and Sandal Technologies",Metals and Mining,"Sikkim, India",$1B to $10B,Active,2020,Seed,Mining,4,"Jhalak Kala, Dakshesh Mukhopadhyay, Kabir Raman, Gaurika Samra",251-500,5,Early Stage Venture,$10M to $50M,Growing,Low,373184,385.39365529138746,6046.759771283029,1,1350
Mitter LLC Solutions,Roads,"Chhattisgarh, India",$100M to $500M,Active,2021,—,Infrastructure,5,"Geetika Badal, Ekbal Jain, Tanish Venkatesh, Leela Sem, Gunbir Zachariah",1001-5000,6,—,$100K to $500K,—,High,1048803,523.1145659532217,3041.597025679585,10,2228
"Dugal, Vasa and Bala Solutions",Retail,"Sikkim, India",$10B+,Active,2021,—,Commerce,2,"Krisha Sibal, Raghav Bajwa",51-100,1,Growing,$100M to $500M,Medium,Medium,192535,1326.5179137011214,2046.7301805691018,5,1349
"Khatri, Venkatesh and Rai Solutions",Healthcare,"Bihar, India",Less than $1M,Active,2022,Series B,Healthcare,5,"Radha Dara, Yashoda Amble, Ganga Bora, Ekta Dara, Yashodhara Saha",251-500,3,M&A,—,—,Low,1877493,1095.8608530722026,9837.283074678377,8,795
Srinivas Ltd Solutions,Real Estate,"Assam, India",$1B to $10B,Active,2019,Series B,Real Estate,2,"Veer Chandran, Sudiksha Venkatesh",101-250,5,Seed,$0,High,Low,176417,846.3105739012514,5262.286350262799,2,936
Chand-Chana Innovations,Education and Training,"Meghalaya, India",Less than $1M,Active,2017,Series C,Education,4,"Pushti Majumdar, Gabriel Raju, Qadim Balakrishnan, Arjun Cherian",501-1000,2,Early Stage Venture,—,—,High,1097139,84.44439641737424,2170.9058225929125,6,1558
"Merchant, Puri and Chanda Labs",Science and Technology,"Maharashtra, India",$50M to $100M,Active,2024,Series B,Technology,3,"Neelima Garg, Abhiram Bhattacharyya, Oviya Upadhyay",11-50,4,Seed,$50M to $100M,Growing,High,1084660,1877.3963097924482,989.9235236672607,10,2176
Dubey-Dayal Technologies,Electronics System Design & Manufacturing,"Maharashtra, India",$100M to $500M,Active,2020,Series C,Electronics,3,"Ekansh Soman, Maanav Jain, Ojas Panchal",501-1000,2,Seed,—,—,—,1854385,1399.6629897810026,-67.74501197453543,9,2448
Gill-Sachar Solutions,FMCG,"Madhya Pradesh, India",$1B to $10B,Active,2023,Seed,Consumer Goods,0,—,11-50,3,—,$0,Medium,High,1870629,1002.8144085487475,6771.787227735437,7,950
"Magar, Pal and Karpe Solutions",Aviation,"Mizoram, India",$1M to $10M,Active,2024,IPO,Transportation,0,—,101-250,7,M&A,$100K to $500K,Medium,Medium,1599340,1274.9457144833523,5562.579331441052,2,315
Varty Ltd Technologies,Manufacturing,"Mizoram, India",Less than $1M,Active,2020,IPO,Manufacturing,1,Hardik Kibe,1001-5000,5,Growing,$100K to $500K,High,High,1240606,1976.8257851990506,9600.384099205334,0,2263
Reddy Ltd Labs,Auto Components,"Haryana, India",$100M to $500M,Active,2024,Seed,Automotive,2,"Hemang Ram, Nandini Bhagat",1001-5000,1,Seed,$5M to $10M,High,Low,600342,1296.7083420593237,196.9857340994448,0,1316
Mohanty Group Technologies,Biotechnology,"Nagaland, India",$100M to $500M,Active,2020,IPO,Biotechnology,5,"Abeer Contractor, Suhani Walia, Kritika Gole, Abha Rastogi, Zashil Shan",51-100,1,Early Stage Venture,$10M to $50M,Growing,High,861200,1854.4391171288303,5714.324214375777,7,617
"Sankar, Deol and Buch Innovations",Telecommunications,"Punjab, India",Less than $1M,Active,2022,Series A,Telecommunications,4,"Watika Yadav, Netra Badal, Wishi Sundaram, Varsha Dara",501-1000,2,Early Stage Venture,—,Growing,High,1120420,495.41108456514087,7562.3866542995165,10,838
"Bhalla, Ramanathan and Mishra Labs",Financial Services,"Meghalaya, India",$1B to $10B,Active,2019,Series A,Financial Services,3,"Yahvi Ahluwalia, Rajata Anand, Faris Wable",51-100,3,M&A,—,High,—,1065058,772.5493884137649,3610.2494296537,1,2294
Iyer-Tiwari Solutions,Automobiles,"Punjab, India",$50M to $100M,Active,2021,Series A,Automotive,3,"Yashasvi Dara, Vrinda Dora, Indrajit Boase",51-100,1,Early Stage Venture,$0,—,High,1853319,1674.8753170478128,3738.8545996373377,3,1099
Gara Ltd Solutions,Agriculture and Allied Industries,"Arunachal Pradesh, India",$10M to $50M,Active,2019,Series C,Agriculture,4,"Ishita Chaudhuri, Guneet Tank, Kala Nadkarni, Azad Balakrishnan",1001-5000,2,—,$50M to $100M,High,Low,1847348,986.1597874988042,2606.6706301649183,1,2159
Memon-Nanda Labs,Education and Training,"Jammu and Kashmir, India",$1M to $10M,Active,2020,Seed,Education,0,—,251-500,1,M&A,—,Growing,Low,851328,-45.43662687364248,1023.8830627693094,9,1978
"Mammen, Mitra and Buch Labs",Ayush,"Nagaland, India",$1B to $10B,Active,2024,—,Healthcare,4,"Vrishti Minhas, Upasna Mangat, Finn Narain, Megha Agrawal",1-10,0,—,$10M to $50M,High,High,114320,633.3008565488859,2524.3221903616854,3,163
"Sura, Mammen and Narayan Technologies",Renewable Energy,"Maharashtra, India",$10B+,Active,2018,Series B,Energy,0,—,501-1000,5,Early Stage Venture,$100K to $500K,Growing,Low,158203,1687.3978315450313,8932.770216720015,8,1062
Agate-Panchal Solutions,Ports,"Telangana, India",$10B+,Active,2024,—,Transportation,3,"Manya Iyer, Megha Bhatia, Tejas Saxena",1-10,0,—,$10M to $50M,—,High,1492779,1993.6246854346755,8697.17179736169,0,1861
"Ganesan, Chokshi and Bhargava Innovations",Banking,"Karnataka, India",$50M to $100M,Active,2021,Seed,Financial Services,2,"Girish Sanghvi, Sathvik Shere",1-10,4,M&A,$100K to $500K,Medium,—,979601,1313.1773074551859,7357.821891773045,6,298
Pau-Reddy Labs,Roads,"Uttarakhand, India",$10M to $50M,Active,2022,Series C,Infrastructure,2,"Yug Bhargava, Jasmit Pau",251-500,1,M&A,$500K to $1M,Growing,High,1873569,-80.74990966848392,2971.454180906107,8,1013
Krishna-Dalal Pvt Ltd,Healthcare,"Tripura, India",$10B+,Active,2020,—,Healthcare,4,"Ekbal Ray, Dev Bera, Liam Dixit, Omya Halder",51-100,3,Early Stage Venture,$0,Medium,—,1880918,558.3411360007635,248.07153072653443,0,967
Khatri Ltd Technologies,Renewable Energy,"Karnataka, India",$100M to $500M,Active,2018,Seed,Energy,1,Charan Bassi,11-50,1,Growing,$100K to $500K,Medium,—,333897,102.48078606800715,8914.686592341435,5,1491
Ahuja-Dugal Innovations,Steel,"Tamil Nadu, India",$100M to $500M,Active,2019,Seed,Manufacturing,2,"Geetika Kala, Vasudha Dhillon",1-10,7,Growing,$0,Growing,Low,755085,1890.5193114974477,4537.681916774974,6,1627
"Kalita, Mannan and Choudhury Solutions",Electric Vehicle,"Arunachal Pradesh, India",$100M to $500M,Active,2024,Series A,Automotive,0,—,501-1000,6,Early Stage Venture,$500K to $1M,—,—,1521221,525.7590340788719,4462.715078324522,5,644
Kannan PLC Innovations,Railways,"Himachal Pradesh, India",$1B to $10B,Active,2018,Series A,Transportation,4,"Advay Atwal, Vanya Natarajan, Bishakha Magar, Xalak Kaur",1-10,1,Early Stage Venture,$10M to $50M,High,High,231265,1856.4617387095561,1944.0119432560325,9,416
Soni-Ramakrishnan Solutions,Financial Services,"Tripura, India",$1M to $10M,Active,2022,—,Financial Services,0,—,1-10,0,—,$0,High,Low,280755,1695.4488690679507,4979.690894137534,2,2214
"Grover, Bahri and Chanda Technologies",FMCG,"Uttar Pradesh, India",$1B to $10B,Active,2019,Seed,Consumer Goods,5,"Saanvi Varty, Advaith Agrawal, Janya Om, Viraj Sheth, Yagnesh Dave",11-50,2,Early Stage Venture,$0,Medium,Low,1124535,270.8616826273592,4299.225987004576,10,1027
"Ratta, Guha and Soman Innovations",Textiles,"West Bengal, India",$10B+,Active,2018,Series B,Textiles,4,"Bimala Dora, Rushil Sami, Oni Garde, Sachi Kakar",1-10,2,—,—,High,Medium,687970,1779.9543176295563,987.3250067068443,5,469
"Goel, Pai and Badami Innovations",Food Processing,"Jharkhand, India",$1M to $10M,Active,2023,—,Food and Beverage,1,Mekhala Arya,51-100,1,Growing,$50M to $100M,Medium,Low,480283,868.2839934249201,9099.234801608774,0,493
Kumer-Bose Solutions,Metals and Mining,"Nagaland, India",$1B to $10B,Active,2017,Series C,Mining,2,"Hardik Gour, Chandani Brar",1001-5000,3,Seed,$0,Medium,High,1915556,1794.4818903823902,6783.08833163991,2,22
Rau-Parekh Innovations,Agriculture and Allied Industries,"Karnataka, India",$50M to $100M,Active,2023,IPO,Agriculture,0,—,1-10,5,Early Stage Venture,—,High,—,1579897,1196.8684896739442,6479.560164842417,7,2098
"Acharya, Mani and Koshy Labs",Banking,"Kerala, India",$1M to $10M,Active,2022,Seed,Financial Services,3,"Niharika Joshi, Abdul Dhillon, Kamala Bhasin",251-500,5,Early Stage Venture,$500K to $1M,High,—,1545948,1500.1695121987173,9925.307712729404,10,1074
Arora Ltd Innovations,Railways,"Karnataka, India",Less than $1M,Active,2020,Series C,Transportation,4,"Yashawini Lall, Tara Wable, Vinaya Loyal, George Babu",501-1000,6,Early Stage Venture,$10M to $50M,—,—,1978400,1995.316886232336,9345.167312774322,10,40
"Gade, Bahl and Badami Pvt Ltd",Roads,"Maharashtra, India",$100M to $500M,Active,2023,Series A,Infrastructure,3,"Qadim Sharma, Vanya Sastry, Gaurika Bains",501-1000,3,—,$50M to $100M,—,—,607336,731.5994302921819,-40.13740344918215,9,1510
"Kata, Vora and Narayan Technologies",Engineering and Capital Goods,"Madhya Pradesh, India",$1M to $10M,Active,2017,—,Engineering,5,"Yauvani Manne, Shivansh Arya, Neel Dyal, Suhani Halder, Ekta Bhasin",1001-5000,0,—,$100M to $500M,High,High,270291,1119.3182809698776,3411.9052068092415,0,85
Minhas PLC Pvt Ltd,Insurance,"Punjab, India",$100M to $500M,Active,2019,IPO,Financial Services,1,Om Peri,1001-5000,2,Growing,—,—,—,819866,791.1632790254866,4071.054324665054,8,1539
"Yohannan, Vig and Morar Technologies",Gems and Jewellery,"Nagaland, India",$10M to $50M,Active,2022,IPO,Luxury Goods,4,"Sarthak Ravi, Xalak Minhas, Umang Prashad, Vyanjana Sampath",251-500,7,Early Stage Venture,—,Growing,Medium,410231,546.1379591510635,7802.932328774106,3,2003
"Tata, Saran and Goswami Innovations",Retail,"Tamil Nadu, India",$1M to $10M,Active,2018,IPO,Commerce,4,"Nimrat Hegde, Yutika Acharya, Amaira Uppal, Advik Vyas",1-10,6,Early Stage Venture,$100M to $500M,—,High,1016644,1443.538638586808,2291.3908857688766,4,1642
Nagar Inc Pvt Ltd,Pharmaceuticals,"Arunachal Pradesh, India",Less than $1M,Active,2017,—,Pharmaceuticals,3,"Ucchal Palan, Vaishnavi Basu, Vaishnavi Bhasin",51-100,1,Early Stage Venture,$500K to $1M,Medium,High,1878020,1782.108247974879,9264.100767497397,9,822
Dhawan Group Technologies,Healthcare,"Gujarat, India",Less than $1M,Active,2022,Series A,Healthcare,4,"Zarna Basu, Lekha Balakrishnan, Ayush Om, Osha Pal",251-500,5,M&A,$5M to $10M,Growing,—,829463,467.7235094508708,1545.0502843293493,4,2313
"Vyas, Krishnan and Pradhan Labs",Steel,"Nagaland, India",$1B to $10B,Active,2020,Series B,Manufacturing,5,"Harini Prabhu, Nirja Saini, Krisha Sunder, Dhruv Balakrishnan, Amol Buch",101-250,1,—,—,High,High,798113,1307.5786128436887,5432.771126484273,8,2043
Mahal LLC Technologies,Railways,"Odisha, India",Less than $1M,Active,2020,Series B,Transportation,2,"Simon Mishra, Yoshita Anne",11-50,1,—,$1M to $5M,Growing,Low,148827,673.1085683789038,9608.243846113253,10,1410
Varkey Group Innovations,Metals and Mining,"Andhra Pradesh, India",$10M to $50M,Active,2023,IPO,Mining,5,"Falguni Bhagat, Geetika Venkatesh, Vrishti Lata, Ekanta Sarin, Eta Kale",11-50,6,Growing,$100K to $500K,Growing,Low,641278,570.5460572244377,7001.821437430139,4,11
Palla-Kale Technologies,Paper & Packaging,"Meghalaya, India",$10M to $50M,Active,2023,Series B,Packaging,2,"Zarna Dhar, Hitesh Chaudhry",51-100,4,Seed,—,Medium,Low,1937384,646.5086958796761,1770.5951211138806,1,509
"Thakur, Anne and Prashad Innovations",Gems and Jewellery,"Maharashtra, India",$10M to $50M,Active,2023,Series A,Luxury Goods,2,"Gopal Ramesh, Warinder Mane",1-10,7,Early Stage Venture,$1M to $5M,Growing,High,1354637,1063.6175854251005,465.04040558419695,2,589
Sarma-Dyal Technologies,Railways,"Maharashtra, India",$50M to $100M,Active,2024,—,Transportation,5,"Triveni Walia, Meghana Pathak, Shravya Om, Mohini Mani, Isaiah Bhardwaj",501-1000,6,—,$500K to $1M,High,High,1232572,1685.52500618766,1043.7172080768505,10,1188
Mann-Chahal Technologies,Paper & Packaging,"Haryana, India",$10B+,Active,2019,Seed,Packaging,5,"Zayyan Sabharwal, Rajata Jha, Aachal Aurora, Yatan Kumer, Ekbal Bhat",11-50,1,—,$500K to $1M,Medium,—,1963459,889.9844636085227,7333.286714885527,2,495
Prashad LLC Pvt Ltd,Textiles,"Punjab, India",$100M to $500M,Active,2024,Series C,Textiles,0,—,11-50,1,Early Stage Venture,$5M to $10M,—,Medium,231057,184.737655460577,6029.616211774281,6,1730
Acharya-Deol Labs,Healthcare,"Chhattisgarh, India",$50M to $100M,Active,2019,IPO,Healthcare,0,—,251-500,4,Growing,$0,Medium,—,1939297,1689.636574018479,522.3050479679098,6,1142
Narang LLC Technologies,Electric Vehicle,"Tripura, India",$1M to $10M,Active,2023,—,Automotive,3,"Qadim Gara, Siya Balakrishnan, Nathaniel Chana",251-500,0,—,$0,High,Low,76246,659.2134817678561,2735.5688260266074,6,1567
Loyal Inc Solutions,Consumer Durables,"Goa, India",$50M to $100M,Active,2020,Seed,Consumer Goods,4,"Garima Biswas, Madhav Pau, Jatin Sama, Rachita Hari",1-10,5,—,$1M to $5M,High,Medium,1474998,1779.140661541207,2042.745898034611,3,2323
"Bhatnagar, Chandran and Bhargava Pvt Ltd",Food Processing,"Odisha, India",$10M to $50M,Active,2021,—,Food and Beverage,0,—,1-10,1,Seed,—,Growing,Medium,952646,1935.2771347880498,8413.1571318182,2,92
Chaudhuri LLC Innovations,Ports,"Goa, India",$100M to $500M,Active,2018,Series B,Transportation,0,—,51-100,2,Growing,—,High,Low,1529502,52.705005606538805,3265.7704042974515,3,393
Lata-Ravel Innovations,IT & BPM,"Uttar Pradesh, India",$100M to $500M,Active,2022,—,Information Technology,3,"Ishwar Dyal, Shravya Wason, Krishna Sagar",11-50,2,—,$500K to $1M,Medium,Low,1363270,291.1435970741057,3280.695705458328,7,1652
"Raval, Pathak and Solanki Pvt Ltd",Paper & Packaging,"Nagaland, India",$50M to $100M,Active,2020,—,Packaging,2,"Ucchal Parsa, Charvi Sabharwal",251-500,3,Growing,—,Growing,Low,957578,1750.310933602368,5787.844665717073,5,1509
"Kapur, Shanker and Gade Labs",Medical Devices,"Nagaland, India",$1B to $10B,Active,2018,Series A,Healthcare,4,"Lajita Dixit, Xavier Gade, Ishwar Nanda, Urvashi Nagy",101-250,5,Early Stage Venture,$5M to $10M,Growing,High,1465,422.41770111751475,8645.429000326349,4,1554
Aurora PLC Innovations,Services,"Andhra Pradesh, India",$1B to $10B,Active,2023,IPO,Services,2,"Chandani Dada, Anirudh Munshi",101-250,1,Early Stage Venture,$1M to $5M,Growing,—,1591990,761.8669148830162,190.5217250278161,6,38
